Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Indonesia,Meat,Online,H,8/20/2010,472974574,8/27/2010,2542,421.89,364.69,1072444.38,927041.98,145402.4
India,Vegetables,Online,C,3/21/2010,897317636,4/5/2010,5084,154.06,90.93,783241.04,462288.12,320952.92
South Korea,Cereal,Offline,H,1/23/2015,733410203,2/24/2015,1232,205.7,117.11,253422.4,144279.52,109142.88
Kazakhstan,Household,Offline,H,7/29/2014,526880967,8/28/2014,4641,668.27,502.54,3101441.07,2332288.14,769152.93
Mongolia,Office Supplies,Online,M,3/27/2015,919973504,4/5/2015,9459,651.21,524.96,6159795.39,4965596.64,1194198.75
Malaysia,Clothes,Offline,M,11/24/2014,269806039,1/10/2015,457,109.28,35.84,49940.96,16378.88,33562.08
Singapore,Meat,Offline,C,6/13/2010,133662259,6/19/2010,2488,421.89,364.69,1049662.32,907348.72,142313.6
Brunei,Household,Online,M,11/3/2016,694549930,11/17/2016,1613,668.27,502.54,1077919.51,810597.02,267322.49
Kyrgyzstan,Personal Care,Offline,H,6/18/2010,311560952,8/4/2010,6664,81.73,56.67,544648.72,377648.88,166999.84
Taiwan,Baby Food,Offline,H,1/16/2013,355735862,1/19/2013,9002,255.28,159.42,2298030.56,1435098.84,862931.72
Kazakhstan,Baby Food,Online,M,1/30/2016,446566617,2/16/2016,7841,255.28,159.42,2001650.48,1250012.22,751638.26
Sri Lanka,Office Supplies,Online,L,10/28/2016,363430154,10/28/2016,5914,651.21,524.96,3851255.94,3104613.44,746642.5
Sri Lanka,Household,Offline,H,7/2/2015,829262912,8/21/2015,6179,668.27,502.54,4129240.33,3105194.66,1024045.67
North Korea,Vegetables,Offline,M,4/15/2013,509674060,5/22/2013,2735,154.06,90.93,421354.1,248693.55,172660.55
Taiwan,Snacks,Online,L,2/3/2011,274351203,3/21/2011,5472,152.58,97.44,834917.76,533191.68,301726.08
Indonesia,Meat,Offline,C,3/6/2011,885269582,3/18/2011,9797,421.89,364.69,4133256.33,3572867.93,560388.4
Cambodia,Beverages,Online,C,6/10/2012,274321591,7/21/2012,6710,47.45,31.79,318389.5,213310.9,105078.6
Tajikistan,Office Supplies,Online,M,5/28/2012,351776921,6/14/2012,7463,651.21,524.96,4859980.23,3917776.48,942203.75
Taiwan,Beverages,Offline,C,3/14/2010,323083293,4/16/2010,6381,47.45,31.79,302778.45,202851.99,99926.46
Brunei,Cosmetics,Online,M,3/4/2013,485189139,3/6/2013,7103,437.2,263.33,3105431.6,1870432.99,1234998.61
Kazakhstan,Cosmetics,Offline,M,4/20/2013,647978627,5/5/2013,130,437.2,263.33,56836,34232.9,22603.1
Malaysia,Snacks,Offline,C,11/18/2013,163463103,12/5/2013,1220,152.58,97.44,186147.6,118876.8,67270.8
Malaysia,Beverages,Offline,L,6/15/2016,328939092,7/19/2016,9242,47.45,31.79,438532.9,293803.18,144729.72
Cambodia,Clothes,Online,H,12/31/2015,288541162,1/25/2016,4597,109.28,35.84,502360.16,164756.48,337603.68
Turkmenistan,Beverages,Online,M,9/15/2013,465647637,9/16/2013,4338,47.45,31.79,205838.1,137905.02,67933.08
Kyrgyzstan,Clothes,Offline,C,8/14/2010,970971095,9/25/2010,779,109.28,35.84,85129.12,27919.36,57209.76
Maldives,Cosmetics,Online,L,4/21/2017,212745797,5/13/2017,5064,437.2,263.33,2213980.8,1333503.12,880477.68
Sri Lanka,Household,Online,L,1/12/2011,372350537,2/23/2011,5653,668.27,502.54,3777730.31,2840858.62,936871.69
Laos,Baby Food,Offline,H,8/10/2013,799478805,8/31/2013,2399,255.28,159.42,612416.72,382448.58,229968.14
Tajikistan,Snacks,Online,H,12/11/2014,893908011,12/21/2014,6100,152.58,97.44,930738,594384,336354
Myanmar,Fruits,Online,M,9/18/2012,806570136,10/10/2012,882,9.33,6.92,8229.06,6103.44,2125.62
Maldives,Snacks,Online,M,2/23/2014,201768052,3/9/2014,6505,152.58,97.44,992532.9,633847.2,358685.7
Taiwan,Vegetables,Online,H,1/29/2016,889580428,3/14/2016,5472,154.06,90.93,843016.32,497568.96,345447.36
Maldives,Snacks,Offline,L,2/11/2014,359986197,3/21/2014,6770,152.58,97.44,1032966.6,659668.8,373297.8
Singapore,Vegetables,Offline,H,3/5/2015,778951537,4/10/2015,7925,154.06,90.93,1220925.5,720620.25,500305.25
Brunei,Office Supplies,Online,H,11/25/2010,750300824,12/19/2010,9542,651.21,524.96,6213845.82,5009168.32,1204677.5
India,Household,Online,H,2/19/2014,850939023,4/8/2014,622,668.27,502.54,415663.94,312579.88,103084.06
Brunei,Cosmetics,Online,M,9/5/2012,802908599,9/30/2012,7352,437.2,263.33,3214294.4,1936002.16,1278292.24
Myanmar,Beverages,Offline,C,4/8/2010,292976891,4/22/2010,7228,47.45,31.79,342968.6,229778.12,113190.48
Bhutan,Beverages,Offline,L,6/17/2015,886251914,7/20/2015,491,47.45,31.79,23297.95,15608.89,7689.06
Bhutan,Vegetables,Online,C,1/4/2010,493221175,2/11/2010,3961,154.06,90.93,610231.66,360173.73,250057.93
Laos,Clothes,Offline,C,5/14/2013,555647122,6/25/2013,7186,109.28,35.84,785286.08,257546.24,527739.84
Turkmenistan,Clothes,Offline,M,11/5/2014,136498534,11/24/2014,1804,109.28,35.84,197141.12,64655.36,132485.76
Brunei,Clothes,Online,L,11/6/2015,576439607,12/14/2015,144,109.28,35.84,15736.32,5160.96,10575.36
Sri Lanka,Vegetables,Online,L,10/1/2012,916144168,11/4/2012,6273,154.06,90.93,966418.38,570403.89,396014.49
Laos,Cosmetics,Offline,H,5/11/2011,747011363,6/3/2011,6117,437.2,263.33,2674352.4,1610789.61,1063562.79
Vietnam,Snacks,Online,C,10/9/2013,986514174,11/28/2013,322,152.58,97.44,49130.76,31375.68,17755.08
Singapore,Cereal,Offline,H,12/29/2014,809250628,2/3/2015,4099,205.7,117.11,843164.3,480033.89,363130.41
South Korea,Clothes,Online,H,10/19/2011,840345370,11/3/2011,5724,109.28,35.84,625518.72,205148.16,420370.56
Brunei,Cereal,Online,L,10/17/2013,569280469,10/29/2013,1596,205.7,117.11,328297.2,186907.56,141389.64
Turkmenistan,Personal Care,Online,C,5/16/2012,531051480,5/25/2012,8789,81.73,56.67,718324.97,498072.63,220252.34
Japan,Household,Online,H,10/2/2016,426990783,10/10/2016,4916,668.27,502.54,3285215.32,2470486.64,814728.68
