Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Iceland,Baby Food,Online,H,11/20/2010,599480426,1/9/2011,8435,255.28,159.42,2153286.8,1344707.7,808579.1
Russia,Meat,Online,L,6/22/2017,538911855,6/25/2017,4848,421.89,364.69,2045322.72,1768017.12,277305.6
Moldova ,Meat,Online,L,2/28/2012,459845054,3/20/2012,7225,421.89,364.69,3048155.25,2634885.25,413270
Malta,Cereal,Online,M,8/12/2010,626391351,9/13/2010,1975,205.7,117.11,406257.5,231292.25,174965.25
Greece,Household,Online,L,9/11/2015,895509612,9/26/2015,49,668.27,502.54,32745.23,24624.46,8120.77
Ukraine,Baby Food,Offline,M,5/7/2017,581689441,5/29/2017,3687,255.28,159.42,941217.36,587781.54,353435.82
Finland,Office Supplies,Online,H,5/21/2015,193508565,7/3/2015,2339,651.21,524.96,1523180.19,1227881.44,295298.75
United Kingdom,Office Supplies,Offline,C,9/9/2014,281291043,9/14/2014,9125,651.21,524.96,5942291.25,4790260,1152031.25
San Marino,Meat,Offline,L,3/17/2017,215851581,3/19/2017,4134,421.89,364.69,1744093.26,1507628.46,236464.8
Kosovo,Meat,Offline,H,2/14/2016,917329490,3/18/2016,7036,421.89,364.69,2968418.04,2565958.84,402459.2
Hungary,Personal Care,Online,C,11/11/2012,344276177,12/24/2012,7826,81.73,56.67,639618.98,443499.42,196119.56
Serbia,Cosmetics,Online,C,9/5/2010,953970611,10/19/2010,9958,437.2,263.33,4353637.6,2622240.14,1731397.46
Hungary,Beverages,Online,C,8/21/2012,722931563,8/25/2012,370,47.45,31.79,17556.5,11762.3,5794.2
Poland,Cereal,Online,L,11/28/2012,860419023,12/15/2012,5964,205.7,117.11,1226794.8,698444.04,528350.76
Lithuania,Fruits,Offline,M,3/11/2013,596061360,4/19/2013,6657,9.33,6.92,62109.81,46066.44,16043.37
Portugal,Personal Care,Offline,H,4/8/2014,633175837,5/16/2014,9656,81.73,56.67,789184.88,547205.52,241979.36
Georgia,Meat,Online,H,2/6/2012,749085032,3/5/2012,9762,421.89,364.69,4118490.18,3560103.78,558386.4
Bulgaria,Snacks,Online,H,3/11/2010,731068313,4/28/2010,8215,152.58,97.44,1253444.7,800469.6,452975.1
Austria,Vegetables,Online,C,1/19/2013,749906861,3/6/2013,2960,154.06,90.93,456017.6,269152.8,186864.8
Romania,Meat,Offline,L,8/28/2011,797046363,10/6/2011,2586,421.89,364.69,1091007.54,943088.34,147919.2
Hungary,Cosmetics,Offline,C,1/5/2017,382368266,1/13/2017,122,437.2,263.33,53338.4,32126.26,21212.14
Denmark,Personal Care,Online,L,1/30/2017,680704581,2/3/2017,4467,81.73,56.67,365087.91,253144.89,111943.02
Luxembourg,Fruits,Online,C,6/4/2011,793810546,6/7/2011,5036,9.33,6.92,46985.88,34849.12,12136.76
Romania,Personal Care,Online,M,11/12/2011,758601081,12/21/2011,5772,81.73,56.67,471745.56,327099.24,144646.32
San Marino,Snacks,Online,M,4/11/2011,672031390,4/13/2011,7877,152.58,97.44,1201872.66,767534.88,434337.78
Croatia,Baby Food,Online,L,11/8/2014,333288991,12/6/2014,6474,255.28,159.42,1652682.72,1032085.08,620597.64
United Kingdom,Household,Offline,L,5/12/2012,494330108,6/29/2012,2119,668.27,502.54,1416064.13,1064882.26,351181.87
Ukraine,Fruits,Offline,H,3/28/2012,270890080,4/1/2012,1249,9.33,6.92,11653.17,8643.08,3010.09
Georgia,Fruits,Offline,L,11/2/2010,854794108,11/20/2010,1427,9.33,6.92,13313.91,9874.84,3439.07
Poland,Cereal,Online,C,3/1/2010,400420606,4/4/2010,2210,205.7,117.11,454597,258813.1,195783.9
Ukraine,Meat,Offline,M,1/8/2016,365959155,1/31/2016,4301,421.89,364.69,1814548.89,1568531.69,246017.2
Sweden,Personal Care,Offline,M,1/28/2015,869432103,3/5/2015,3135,81.73,56.67,256223.55,177660.45,78563.1
Cyprus,Clothes,Online,C,11/22/2014,793936717,1/8/2015,2372,109.28,35.84,259212.16,85012.48,174199.68
Denmark,Beverages,Online,M,12/16/2013,887259995,2/1/2014,8804,47.45,31.79,417749.8,279879.16,137870.64
Iceland,Household,Online,M,3/2/2014,611840045,3/2/2014,5921,668.27,502.54,3956826.67,2975539.34,981287.33
Moldova ,Meat,Offline,C,6/3/2010,474698483,7/18/2010,2685,421.89,364.69,1132774.65,979192.65,153582
Montenegro,Personal Care,Offline,H,6/28/2011,876228606,7/20/2011,4371,81.73,56.67,357241.83,247704.57,109537.26
Vatican City,Snacks,Offline,L,6/26/2014,276048934,8/9/2014,7869,152.58,97.44,1200652.02,766755.36,433896.66
Romania,Clothes,Offline,H,4/25/2010,374646508,5/29/2010,5082,109.28,35.84,555360.96,182138.88,373222.08
France,Household,Offline,M,4/28/2014,697646272,6/5/2014,7890,668.27,502.54,5272650.3,3965040.6,1307609.7
Montenegro,Fruits,Online,M,1/1/2017,778073489,1/28/2017,8091,9.33,6.92,75489.03,55989.72,19499.31
Netherlands,Beverages,Offline,M,7/2/2010,520671546,8/21/2010,7136,47.45,31.79,338603.2,226853.44,111749.76
Iceland,Household,Offline,C,6/11/2011,362132394,7/2/2011,1878,668.27,502.54,1255011.06,943770.12,311240.94
Cyprus,Household,Online,H,3/3/2013,884397542,4/17/2013,1741,668.27,502.54,1163458.07,874922.14,288535.93
Ukraine,Beverages,Offline,M,10/4/2014,340606057,11/4/2014,1756,47.45,31.79,83322.2,55823.24,27498.96
France,Cosmetics,Online,C,8/2/2010,670038402,9/16/2010,8108,437.2,263.33,3544817.6,2135079.64,1409737.96
Hungary,Household,Online,H,7/31/2014,931757199,9/14/2014,6516,668.27,502.54,4354447.32,3274550.64,1079896.68
Estonia,Clothes,Offline,C,3/24/2012,336223971,4/1/2012,5000,109.28,35.84,546400,179200,367200
Bosnia and Herzegovina,Household,Offline,L,5/8/2010,644171607,5/25/2010,3548,668.27,502.54,2371021.96,1783011.92,588010.04
Finland,Fruits,Online,L,7/12/2010,308532845,8/24/2010,580,9.33,6.92,5411.4,4013.6,1397.8
Austria,Meat,Offline,C,1/16/2015,217189681,2/15/2015,108,421.89,364.69,45564.12,39386.52,6177.6
Monaco,Personal Care,Online,M,2/9/2012,935642325,2/24/2012,6211,81.73,56.67,507625.03,351977.37,155647.66
Portugal,Fruits,Online,L,12/18/2010,232154691,1/30/2011,8587,9.33,6.92,80116.71,59422.04,20694.67
Germany,Cereal,Online,C,6/12/2017,975273358,6/21/2017,3914,205.7,117.11,805109.8,458368.54,346741.26
Slovenia,Office Supplies,Offline,M,12/3/2013,661422288,12/27/2013,8408,651.21,524.96,5475373.68,4413863.68,1061510
Slovenia,Household,Online,C,11/2/2016,647005307,11/7/2016,2103,668.27,502.54,1405371.81,1056841.62,348530.19
France,Beverages,Offline,C,6/13/2016,701423251,7/19/2016,5582,47.45,31.79,264865.9,177451.78,87414.12
Malta,Cosmetics,Offline,L,2/8/2014,275484168,2/24/2014,742,437.2,263.33,324402.4,195390.86,129011.54
Romania,Beverages,Online,L,1/24/2017,376309049,2/25/2017,7065,47.45,31.79,335234.25,224596.35,110637.9
Bulgaria,Household,Online,H,2/14/2016,778080785,2/18/2016,250,668.27,502.54,167067.5,125635,41432.5
Montenegro,Snacks,Online,H,4/29/2014,377390086,5/18/2014,6968,152.58,97.44,1063177.44,678961.92,384215.52
Germany,Meat,Offline,L,5/2/2010,946834218,6/13/2010,8141,421.89,364.69,3434606.49,2968941.29,465665.2
Montenegro,Meat,Offline,C,10/14/2016,788219964,10/25/2016,658,421.89,364.69,277603.62,239966.02,37637.6
Ireland,Baby Food,Online,C,8/23/2011,320065915,9/15/2011,3472,255.28,159.42,886332.16,553506.24,332825.92
Russia,Beverages,Online,H,10/19/2012,361512696,11/29/2012,8495,47.45,31.79,403087.75,270056.05,133031.7
Montenegro,Vegetables,Online,L,7/19/2011,709864270,9/6/2011,3467,154.06,90.93,534126.02,315254.31,218871.71
Austria,Personal Care,Offline,M,4/16/2016,432680928,4/25/2016,8757,81.73,56.67,715709.61,496259.19,219450.42
Latvia,Meat,Online,L,11/12/2014,785591828,12/8/2014,2934,421.89,364.69,1237825.26,1070000.46,167824.8
Slovenia,Cereal,Offline,L,3/4/2011,438870608,4/10/2011,421,205.7,117.11,86599.7,49303.31,37296.39
Ireland,Snacks,Offline,C,6/24/2014,392784678,6/29/2014,2570,152.58,97.44,392130.6,250420.8,141709.8
Moldova ,Personal Care,Online,C,6/28/2014,599926316,7/8/2014,384,81.73,56.67,31384.32,21761.28,9623.04
Ukraine,Office Supplies,Offline,C,5/30/2012,168604791,6/27/2012,2759,651.21,524.96,1796688.39,1448364.64,348323.75
Croatia,Beverages,Offline,C,7/19/2016,797854030,9/5/2016,1592,47.45,31.79,75540.4,50609.68,24930.72
Ukraine,Clothes,Offline,C,3/4/2013,749124085,4/12/2013,1319,109.28,35.84,144140.32,47272.96,96867.36
Ukraine,Vegetables,Online,H,2/28/2014,907300603,3/28/2014,9265,154.06,90.93,1427365.9,842466.45,584899.45
Romania,Household,Online,H,8/12/2010,761546790,8/24/2010,7473,668.27,502.54,4993981.71,3755481.42,1238500.29
Moldova ,Office Supplies,Online,H,11/17/2014,487494552,11/17/2014,9326,651.21,524.96,6073184.46,4895776.96,1177407.5
San Marino,Snacks,Offline,H,1/17/2015,497733724,1/28/2015,9324,152.58,97.44,1422655.92,908530.56,514125.36
Belgium,Household,Offline,H,3/11/2017,233876883,4/28/2017,8222,668.27,502.54,5494515.94,4131883.88,1362632.06
Serbia,Household,Offline,M,11/4/2016,253818786,11/15/2016,9474,668.27,502.54,6331189.98,4761063.96,1570126.02
Latvia,Meat,Online,C,2/15/2013,800445258,4/6/2013,8394,421.89,364.69,3541344.66,3061207.86,480136.8
Switzerland,Personal Care,Online,H,1/17/2012,688707864,2/12/2012,2816,81.73,56.67,230151.68,159582.72,70568.96
Monaco,Personal Care,Offline,L,11/25/2012,326881301,12/16/2012,296,81.73,56.67,24192.08,16774.32,7417.76
France,Household,Online,M,1/23/2015,714754474,2/5/2015,587,668.27,502.54,392274.49,294990.98,97283.51
Georgia,Personal Care,Online,H,9/23/2015,406802117,9/24/2015,641,81.73,56.67,52388.93,36325.47,16063.46
Finland,Cosmetics,Online,M,1/4/2014,873014247,1/27/2014,3171,437.2,263.33,1386361.2,835019.43,551341.77
Netherlands,Personal Care,Online,L,10/1/2016,439624631,10/31/2016,3553,81.73,56.67,290386.69,201348.51,89038.18
Vatican City,Snacks,Offline,H,7/7/2012,931682097,8/19/2012,4292,152.58,97.44,654873.36,418212.48,236660.88
Cyprus,Snacks,Offline,C,8/30/2013,194547975,10/14/2013,9924,152.58,97.44,1514203.92,966994.56,547209.36
Italy,Personal Care,Online,L,12/8/2010,716296851,12/16/2010,7011,81.73,56.67,573009.03,397313.37,175695.66
Kosovo,Personal Care,Offline,L,12/4/2012,358329236,1/7/2013,6439,81.73,56.67,526259.47,364898.13,161361.34
Latvia,Beverages,Online,H,5/1/2013,893062150,6/2/2013,5791,47.45,31.79,274782.95,184095.89,90687.06
Monaco,Office Supplies,Online,M,11/30/2013,520599019,12/21/2013,5673,651.21,524.96,3694314.33,2978098.08,716216.25
Bosnia and Herzegovina,Fruits,Offline,L,8/22/2013,510080468,10/2/2013,3001,9.33,6.92,27999.33,20766.92,7232.41
Netherlands,Snacks,Offline,C,8/14/2011,509101569,9/20/2011,3323,152.58,97.44,507023.34,323793.12,183230.22
Moldova ,Beverages,Online,L,7/13/2015,369680345,8/8/2015,5484,47.45,31.79,260215.8,174336.36,85879.44
Belgium,Vegetables,Offline,M,4/4/2016,568268096,5/15/2016,2013,154.06,90.93,310122.78,183042.09,127080.69
Bulgaria,Baby Food,Online,L,10/1/2015,481937444,10/26/2015,4854,255.28,159.42,1239129.12,773824.68,465304.44
Belarus,Beverages,Offline,C,2/18/2017,684996545,3/15/2017,4555,47.45,31.79,216134.75,144803.45,71331.3
Germany,Meat,Offline,H,6/27/2011,911729466,8/1/2011,9865,421.89,364.69,4161944.85,3597666.85,564278
Switzerland,Clothes,Online,C,7/6/2014,465283286,8/4/2014,6519,109.28,35.84,712396.32,233640.96,478755.36
Czech Republic,Snacks,Offline,L,2/20/2015,756634271,3/12/2015,3750,152.58,97.44,572175,365400,206775
Finland,Household,Online,L,4/30/2016,612666594,5/22/2016,515,668.27,502.54,344159.05,258808.1,85350.95
Latvia,Beverages,Online,M,10/28/2012,544607150,10/30/2012,213,47.45,31.79,10106.85,6771.27,3335.58
Liechtenstein,Beverages,Offline,C,10/12/2014,738044202,11/29/2014,2535,47.45,31.79,120285.75,80587.65,39698.1
France,Beverages,Offline,H,9/26/2012,249851691,10/2/2012,5523,47.45,31.79,262066.35,175576.17,86490.18
Switzerland,Personal Care,Offline,H,5/15/2014,694105756,6/21/2014,173,81.73,56.67,14139.29,9803.91,4335.38
Greece,Snacks,Online,L,2/1/2012,829217422,2/3/2012,2717,152.58,97.44,414559.86,264744.48,149815.38
Slovenia,Office Supplies,Offline,L,1/16/2017,870684373,2/4/2017,3709,651.21,524.96,2415337.89,1947076.64,468261.25
Macedonia,Vegetables,Offline,M,6/5/2011,421680438,7/2/2011,3467,154.06,90.93,534126.02,315254.31,218871.71
Portugal,Beverages,Online,L,3/28/2011,868269097,4/11/2011,8976,47.45,31.79,425911.2,285347.04,140564.16
Belarus,Cereal,Offline,M,2/25/2010,752556455,3/14/2010,7033,205.7,117.11,1446688.1,823634.63,623053.47
Finland,Beverages,Online,C,11/5/2015,977694642,11/9/2015,426,47.45,31.79,20213.7,13542.54,6671.16
Denmark,Snacks,Online,H,4/6/2011,257276046,5/18/2011,2554,152.58,97.44,389689.32,248861.76,140827.56
Slovakia,Fruits,Offline,H,8/8/2015,744568192,9/24/2015,3129,9.33,6.92,29193.57,21652.68,7540.89
Liechtenstein,Office Supplies,Online,H,4/7/2011,747598445,5/5/2011,9848,651.21,524.96,6413116.08,5169806.08,1243310
Germany,Fruits,Online,M,1/10/2015,937716424,1/26/2015,9983,9.33,6.92,93141.39,69082.36,24059.03
San Marino,Meat,Offline,L,2/8/2017,949009168,3/19/2017,1757,421.89,364.69,741260.73,640760.33,100500.4
Italy,Snacks,Offline,L,5/30/2015,320517814,6/23/2015,7199,152.58,97.44,1098423.42,701470.56,396952.86
Greece,Cosmetics,Online,M,8/11/2015,145342528,8/31/2015,8939,437.2,263.33,3908130.8,2353906.87,1554223.93
Monaco,Household,Online,L,8/28/2011,551885163,10/12/2011,3939,668.27,502.54,2632315.53,1979505.06,652810.47
Bulgaria,Cosmetics,Online,C,5/2/2014,721851813,5/6/2014,848,437.2,263.33,370745.6,223303.84,147441.76
Georgia,Meat,Online,H,10/25/2016,862883222,11/29/2016,5175,421.89,364.69,2183280.75,1887270.75,296010
Poland,Vegetables,Online,H,6/15/2014,166002833,7/17/2014,2782,154.06,90.93,428594.92,252967.26,175627.66
Spain,Clothes,Online,H,3/13/2015,627699410,3/22/2015,9059,109.28,35.84,989967.52,324674.56,665292.96
Ireland,Fruits,Online,C,2/18/2010,134634721,3/15/2010,261,9.33,6.92,2435.13,1806.12,629.01
Moldova ,Vegetables,Offline,H,10/14/2013,206163012,10/22/2013,7072,154.06,90.93,1089512.32,643056.96,446455.36
Denmark,Fruits,Offline,L,6/1/2010,267084777,7/10/2010,5176,9.33,6.92,48292.08,35817.92,12474.16
Poland,Office Supplies,Online,C,10/18/2012,665277802,11/27/2012,9341,651.21,524.96,6082952.61,4903651.36,1179301.25
Bosnia and Herzegovina,Clothes,Online,H,11/16/2016,696046817,11/27/2016,4576,109.28,35.84,500065.28,164003.84,336061.44
Romania,Meat,Offline,M,7/12/2011,395235574,7/16/2011,7844,421.89,364.69,3309305.16,2860628.36,448676.8
Moldova ,Cosmetics,Online,H,4/19/2011,219296824,4/21/2011,3658,437.2,263.33,1599277.6,963261.14,636016.46
