Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Greenland,Personal Care,Online,H,4/27/2014,712444770,5/5/2014,7094,81.73,56.67,579792.62,402016.98,177775.64
United States of America,Meat,Offline,H,4/22/2014,748889768,5/14/2014,1979,421.89,364.69,834920.31,721721.51,113198.8
Canada,Snacks,Offline,M,12/9/2014,597108924,12/19/2014,6655,152.58,97.44,1015419.9,648463.2,366956.7
Mexico,Clothes,Online,C,6/27/2012,917197310,8/15/2012,7921,109.28,35.84,865606.88,283888.64,581718.24
Greenland,Vegetables,Offline,M,5/22/2013,959461200,6/22/2013,4745,154.06,90.93,731014.7,431462.85,299551.85
United States of America,Cereal,Online,L,11/30/2011,596802079,12/14/2011,5852,205.7,117.11,1203756.4,685327.72,518428.68
United States of America,Vegetables,Offline,C,8/21/2010,892649304,10/2/2010,3621,154.06,90.93,557851.26,329257.53,228593.73
Canada,Vegetables,Offline,C,3/5/2012,105190503,3/18/2012,7062,154.06,90.93,1087971.72,642147.66,445824.06
United States of America,Personal Care,Online,L,12/13/2014,955897080,12/27/2014,43,81.73,56.67,3514.39,2436.81,1077.58
Canada,Baby Food,Online,C,2/10/2011,715712773,3/5/2011,4169,255.28,159.42,1064262.32,664621.98,399640.34
Greenland,Clothes,Online,M,5/3/2012,305095756,5/15/2012,3469,109.28,35.84,379092.32,124328.96,254763.36
Mexico,Office Supplies,Online,C,5/5/2016,505691945,6/6/2016,4339,651.21,524.96,2825600.19,2277801.44,547798.75
United States of America,Personal Care,Offline,C,1/5/2015,552086007,2/20/2015,3373,81.73,56.67,275675.29,191147.91,84527.38
United States of America,Office Supplies,Online,C,9/30/2011,349588239,10/7/2011,9783,651.21,524.96,6370787.43,5135683.68,1235103.75
Canada,Fruits,Online,L,5/1/2017,464441287,5/13/2017,7353,9.33,6.92,68603.49,50882.76,17720.73
Mexico,Cereal,Online,H,9/6/2014,651846587,9/13/2014,4745,205.7,117.11,976046.5,555686.95,420359.55
United States of America,Office Supplies,Offline,H,11/24/2016,399406087,12/29/2016,1992,651.21,524.96,1297210.32,1045720.32,251490
Mexico,Personal Care,Online,M,1/19/2016,253475034,2/22/2016,7750,81.73,56.67,633407.5,439192.5,194215
United States of America,Personal Care,Offline,L,10/12/2011,916620528,11/22/2011,7238,81.73,56.67,591561.74,410177.46,181384.28
United States of America,Vegetables,Offline,H,9/13/2015,913929307,10/17/2015,846,154.06,90.93,130334.76,76926.78,53407.98
Canada,Clothes,Offline,H,10/29/2013,918111836,12/12/2013,8550,109.28,35.84,934344,306432,627912
Canada,Vegetables,Offline,C,5/15/2011,947777068,5/20/2011,7151,154.06,90.93,1101683.06,650240.43,451442.63
Greenland,Vegetables,Online,C,2/2/2016,998878085,2/9/2016,9078,154.06,90.93,1398556.68,825462.54,573094.14
Canada,Meat,Offline,H,9/3/2011,481985938,10/16/2011,9205,421.89,364.69,3883497.45,3356971.45,526526
Canada,Vegetables,Online,C,6/12/2013,618347299,6/28/2013,1562,154.06,90.93,240641.72,142032.66,98609.06
Canada,Fruits,Online,M,7/21/2017,501603400,8/27/2017,4448,9.33,6.92,41499.84,30780.16,10719.68
Canada,Vegetables,Offline,M,6/26/2011,596038615,7/11/2011,9926,154.06,90.93,1529199.56,902571.18,626628.38
United States of America,Baby Food,Online,M,1/1/2014,183618724,1/4/2014,5716,255.28,159.42,1459180.48,911244.72,547935.76
Greenland,Snacks,Offline,C,4/13/2017,305984103,5/1/2017,6351,152.58,97.44,969035.58,618841.44,350194.14
Mexico,Office Supplies,Online,H,11/25/2014,598012721,12/7/2014,4108,651.21,524.96,2675170.68,2156535.68,518635
Canada,Fruits,Online,H,2/8/2015,119072329,2/17/2015,5003,9.33,6.92,46677.99,34620.76,12057.23
Mexico,Beverages,Online,C,3/10/2011,190128552,4/23/2011,2119,47.45,31.79,100546.55,67363.01,33183.54
Mexico,Office Supplies,Offline,C,9/2/2010,931811702,9/3/2010,2644,651.21,524.96,1721799.24,1387994.24,333805
Canada,Snacks,Online,H,5/19/2011,757638919,6/6/2011,1047,152.58,97.44,159751.26,102019.68,57731.58
Greenland,Baby Food,Online,L,12/16/2015,859191644,1/22/2016,2755,255.28,159.42,703296.4,439202.1,264094.3
Greenland,Fruits,Offline,H,12/20/2015,228558385,2/5/2016,4360,9.33,6.92,40678.8,30171.2,10507.6
Canada,Cosmetics,Offline,M,7/16/2013,428448188,9/4/2013,6195,437.2,263.33,2708454,1631329.35,1077124.65
Greenland,Personal Care,Offline,C,3/24/2014,374473989,3/25/2014,4030,81.73,56.67,329371.9,228380.1,100991.8
Mexico,Household,Offline,C,5/14/2013,202290761,5/23/2013,1186,668.27,502.54,792568.22,596012.44,196555.78
United States of America,Meat,Online,M,3/1/2013,550168979,4/1/2013,6082,421.89,364.69,2565934.98,2218044.58,347890.4
United States of America,Meat,Online,C,7/19/2014,774284493,9/7/2014,6843,421.89,364.69,2886993.27,2495573.67,391419.6
United States of America,Cereal,Offline,C,5/15/2010,807035768,6/21/2010,8673,205.7,117.11,1784036.1,1015695.03,768341.07
Mexico,Office Supplies,Online,H,5/13/2016,715982711,6/18/2016,4050,651.21,524.96,2637400.5,2126088,511312.5
Greenland,Vegetables,Online,C,8/7/2012,584468638,8/10/2012,6113,154.06,90.93,941768.78,555855.09,385913.69
Mexico,Baby Food,Offline,H,3/24/2015,473574531,4/27/2015,82,255.28,159.42,20932.96,13072.44,7860.52
Greenland,Meat,Offline,C,9/15/2015,345993220,11/2/2015,5937,421.89,364.69,2504760.93,2165164.53,339596.4
United States of America,Baby Food,Online,H,7/15/2016,372629487,7/30/2016,8201,255.28,159.42,2093551.28,1307403.42,786147.86
Canada,Cosmetics,Offline,C,8/2/2014,289198195,9/5/2014,9028,437.2,263.33,3947041.6,2377343.24,1569698.36
Greenland,Cosmetics,Online,H,1/14/2016,356238400,3/4/2016,7714,437.2,263.33,3372560.8,2031327.62,1341233.18
Mexico,Clothes,Online,H,2/20/2011,447488868,3/28/2011,755,109.28,35.84,82506.4,27059.2,55447.2
Canada,Clothes,Online,L,11/24/2015,144565761,11/27/2015,9076,109.28,35.84,991825.28,325283.84,666541.44
